Source,Category,Headline,Description,Link,Date,Author,Target
Copperbelt Energy,economy news,CEC Career Opportunity: GDP – Legal,"We currently have career opportunities in the following field VAC-2024-0026: GDP LEGAL Grade: CEC GDP | Contract Type: Fixed Term | Location: Kitwe Are you a fresh graduate with a Bachelor of Law Degree (LLB) and an Advocate of the High Court of Zambia; seeking to acquire real-world, hands-on experience to hone your strengths and",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-11-20 16:31:18+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,CEC Career Opportunity: Assurance Specialist – Systems,We currently have career opportunities in the following field VAC-2024-0024: ASSURANCE SPECIALIST - SYSTEMS Grade: CEC 5 | Contract Type: Permanent | Location: Kitwe This role is responsible for implementing strategic risk-based internal audit plan and assisting the functional head in managing the Assurance and Internal Audit function in accordance with the internal audit charter,https://cecinvestor.com/search/kitwe/feed/rss2/,2024-11-20 15:15:28+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,CEC Career Opportunity: Internal Auditor –  Information Systems,We currently have career opportunities in the following field VAC-2024-0025: INTERNAL AUDITOR – INFORMATION SYSTEMS Grade: CEC 6 | Contract Type: Permanent | Location: Kitwe This role is responsible for carrying out internal audit engagements relating to Information Systems (IS) and Information Technology (IT) that involve an evaluation of the adequacy and effectiveness of risk,https://cecinvestor.com/search/kitwe/feed/rss2/,2024-11-20 15:14:39+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,CEC Career Opportunity: Engineer – Protection,"We currently have career opportunities in the following field VAC-2024-0022: ENGINEER - PROTECTION Grade: CEC 6 | Contract Type: Permanent | Location: Kitwe This role is responsible for designing, installation, testing, commissioning and maintaining various protection and control equipment such as protection schemes, monitoring devices, alarm schemes and instruments to ensure the efficiency and reliability",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-11-20 15:13:41+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,CEC Career Opportunity: Mechanic II,"We currently have career opportunities in the following field VAC-2024-0023: MECHANIC II Grade: CEC 9 | Contract Type: Permanent | Location: Kitwe The role is responsible for accurate diagnosis of faults on; and carrying out repair and maintenance of all CEC motor vehicles and plant equipment, comprising vans, mini buses, trucks, cranes, earth moving equipment,",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-11-20 15:13:05+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,CEC Career Opportunity: Technician – Electrical,"We currently have career opportunities in the following field VAC-2024-0019: TECHNICIAN - ELECTRICAL Grade: CEC 9 | Contract Type: Permanent | Location: Kitwe This role is responsible for undertaking installations, maintenance and repairs on metering equipment and test instruments in order to ensure correct operation on all metering infrastructure. The position will report to the",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-09-24 09:10:46+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,CEC Career Opportunity: Parks & Gardens Assistant,"We currently have career opportunities in the following field VAC-2024-0017: PARKS & GARDENS ASSISTANT Grade: CEC 10 | Contract Type: Permanent | Location: Kitwe This role is responsible for assisting in the implementation of activities related to routine landscape maintenance of grounds on all company premises, such as weed or vegetation control, waste collection, drainage",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-09-24 09:09:59+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,CEC Career Opportunity: Technician – Mechanical,"We currently have career opportunities in the following field VAC-2024-0018: TECHNICIAN - MECHANICAL Grade: CEC 9 | Contract Type: Permanent | Location: Kitwe This role is responsible for carrying out mechanical maintenance work, installation and repair of a range of mechanical fixed plant, equipment in an effective, efficient and cost-effective manner to ensure sustenance of",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-09-24 09:09:22+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,CEC Career Opportunity: CAPEX Engineer,"We currently have career opportunities in the following field VAC-2024-0016: CAPEX ENGINEER Grade: CEC 6 | Contract Type: Permanent | Location: Kitwe This role is responsible for coordinating, monitoring, review and evaluating the implementation of the Company CAPEX programs. The successful candidate will undertake Project Management assignments in the Directorate. The position will report to",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-09-23 15:29:42+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,CEC Career Opportunity: Engineer – SCADA,"We currently have career opportunities in the following field VAC-2024-0020: ENGINEER - SCADA Grade: CEC 6 | Contract Type: Permanent | Location: Kitwe This role is responsible for providing an efficient, reliable and effective SCADA network through planning, designing, directing, and implementing of condition-based maintenance and repair of all SCADA equipment/facilities vital for a continuous",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-09-23 15:29:32+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,CEC Career Opportunity: Driver II,"We currently have career opportunities in the following field VAC-2024-0021: DRIVER II Grade: CEC 10 | Contract Type: Permanent | Location: Kitwe This role is responsible for driving any assigned Company vehicles in order to transport authorized personnel and freight to and/or from various worksites and locations in a timely, safe and courteous manner. Key",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-09-23 15:28:50+00:00,Lovejoy Musundire,0
Copperbelt Energy,business news,CEC Renewables releases Unaudited Results for the half year period to 30 June 2024,"Financial Indicators Assets Manager, Hilton Fulele, Commented I am pleased to report on the performance of CEC Renewables for the half year period ending June 2024. This year has been a landmark period for our company, marked by significant achievements and milestones in our renewable energy generation journey. The results we have achieved reflect our",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-08-19 12:48:31+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,CEC Career Opportunity: Security Officer,"We currently have career opportunities in the following field: VAC-2024-0010: SECURITY OFFICER Grade: CEC 10 | Contract Type: Permanent | Location: Kitwe The successful candidates will be required to perform a range of security duties such as surveillance access security control, motor vehicle tracking and monitoring other security electronic systems in order to ensure the",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-08-14 19:42:36+00:00,CEC Investor Relations,0
Copperbelt Energy,career,CEC Career Opportunity: Technician – Civil Maintenance,"We currently have career opportunities in the following field: VAC-2024-0006: TECHNICIAN - CIVIL MAINTENANCE Grade: CEC 9 | Contract Type: Permanent | Location: Kitwe This role is responsible for undertaking and implementing activities of on-site construction and maintenance works by performing activities such as machining, fabrication, joinery, tiling, roofing, etc. in conjunction with other subordinates,",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-08-14 19:41:20+00:00,CEC Investor Relations,0
Copperbelt Energy,development,CEC Career Opportunity: Engineer – Software Development,"Grade: CEC6 | Contract Type: Permanent | Location: Kitwe CEC invites applications from suitably qualified and innovative individuals to take up the position of Engineer - Software Development. The role ensures developed systems are delivered and implemented in accordance with development standards and systems governance framework. This role includes the design, development, testing and maintenance",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-07-23 06:51:35+00:00,Lovejoy Musundire,0
Copperbelt Energy,health and wellness,"CEC enhances Kitwe Teaching Hospital with new Paediatric Ward and ICU, investing 7 million Kwacha in healthcare","The Copperbelt Energy Corporation Plc (CEC) handed over the refurbished Luntembwe paediatric ward and newly constructed Intensive Care Unit (ICU) at Kitwe Teaching Hospital to the Government of the Republic of Zambia on Saturday, July 6, 2024. The modernised ward and newly created ICU, costing seven million Kwacha, will improve the delivery of healthcare services",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-07-08 15:21:02+00:00,CEC Investor Relations,0
