Source,Category,Headline,Description,Link,Date,Author,Target
Copperbelt Energy,career,"['CEC', 'Career', 'Opportunity', 'GDP', 'Legal']","['currently', 'career', 'opportunity', 'follow', 'field', 'GDP', 'LEGAL', 'Grade', 'CEC', 'GDP', 'Contract', 'Type', 'fix', 'Term', 'location', 'Kitwe', 'fresh', 'graduate', 'Bachelor', 'Law', 'Degree', 'LLB', 'Advocate', 'High', 'Court', 'Zambia', 'seek', 'acquire', 'real', 'world', 'hand', 'experience', 'hone', 'strength']",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-11-20 16:31:18+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,"['CEC', 'Career', 'Opportunity', 'Assurance', 'Specialist', 'Systems']","['currently', 'career', 'opportunity', 'follow', 'field', 'ASSURANCE', 'SPECIALIST', 'SYSTEMS', 'Grade', 'CEC', 'Contract', 'Type', 'Permanent', 'location', 'Kitwe', 'role', 'responsible', 'implement', 'strategic', 'risk', 'base', 'internal', 'audit', 'plan', 'assist', 'functional', 'head', 'manage', 'Assurance', 'Internal', 'Audit', 'function', 'accordance', 'internal', 'audit', 'charter']",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-11-20 15:15:28+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,"['CEC', 'Career', 'Opportunity', 'Internal', 'Auditor', 'Information', 'Systems']","['currently', 'career', 'opportunity', 'follow', 'field', 'INTERNAL', 'AUDITOR', 'INFORMATION', 'SYSTEMS', 'Grade', 'CEC', 'Contract', 'Type', 'Permanent', 'location', 'Kitwe', 'role', 'responsible', 'carry', 'internal', 'audit', 'engagement', 'relate', 'Information', 'Systems', 'Information', 'Technology', 'involve', 'evaluation', 'adequacy', 'effectiveness', 'risk']",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-11-20 15:14:39+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,"['CEC', 'Career', 'Opportunity', 'Engineer', 'protection']","['currently', 'career', 'opportunity', 'follow', 'field', 'ENGINEER', 'PROTECTION', 'Grade', 'CEC', 'Contract', 'Type', 'Permanent', 'location', 'Kitwe', 'role', 'responsible', 'designing', 'installation', 'testing', 'commission', 'maintain', 'protection', 'control', 'equipment', 'protection', 'scheme', 'monitor', 'device', 'alarm', 'scheme', 'instrument', 'ensure', 'efficiency', 'reliability']",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-11-20 15:13:41+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,"['CEC', 'Career', 'Opportunity', 'Mechanic', 'II']","['currently', 'career', 'opportunity', 'follow', 'field', 'MECHANIC', 'II', 'Grade', 'CEC', 'Contract', 'Type', 'Permanent', 'location', 'Kitwe', 'role', 'responsible', 'accurate', 'diagnosis', 'fault', 'carry', 'repair', 'maintenance', 'CEC', 'motor', 'vehicle', 'plant', 'equipment', 'comprise', 'van', 'mini', 'bus', 'truck', 'crane', 'earth', 'moving', 'equipment']",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-11-20 15:13:05+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,"['CEC', 'Career', 'Opportunity', 'technician', 'electrical']","['currently', 'career', 'opportunity', 'follow', 'field', 'TECHNICIAN', 'ELECTRICAL', 'Grade', 'CEC', 'Contract', 'Type', 'Permanent', 'location', 'Kitwe', 'role', 'responsible', 'undertaking', 'installation', 'maintenance', 'repair', 'metering', 'equipment', 'test', 'instrument', 'order', 'ensure', 'correct', 'operation', 'metering', 'infrastructure', 'position', 'report']",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-09-24 09:10:46+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,"['CEC', 'Career', 'Opportunity', 'Parks', 'Gardens', 'Assistant']","['currently', 'career', 'opportunity', 'follow', 'field', 'PARKS', 'GARDENS', 'ASSISTANT', 'Grade', 'CEC', 'Contract', 'Type', 'Permanent', 'location', 'Kitwe', 'role', 'responsible', 'assist', 'implementation', 'activity', 'relate', 'routine', 'landscape', 'maintenance', 'ground', 'company', 'premise', 'weed', 'vegetation', 'control', 'waste', 'collection', 'drainage']",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-09-24 09:09:59+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,"['CEC', 'Career', 'Opportunity', 'technician', 'mechanical']","['currently', 'career', 'opportunity', 'follow', 'field', 'TECHNICIAN', 'MECHANICAL', 'Grade', 'CEC', 'Contract', 'Type', 'Permanent', 'location', 'Kitwe', 'role', 'responsible', 'carry', 'mechanical', 'maintenance', 'work', 'installation', 'repair', 'range', 'mechanical', 'fix', 'plant', 'equipment', 'effective', 'efficient', 'cost', 'effective', 'manner', 'ensure', 'sustenance']",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-09-24 09:09:22+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,"['CEC', 'Career', 'Opportunity', 'CAPEX', 'engineer']","['currently', 'career', 'opportunity', 'follow', 'field', 'CAPEX', 'ENGINEER', 'Grade', 'CEC', 'Contract', 'Type', 'Permanent', 'location', 'Kitwe', 'role', 'responsible', 'coordinating', 'monitoring', 'review', 'evaluate', 'implementation', 'Company', 'CAPEX', 'program', 'successful', 'candidate', 'undertake', 'Project', 'Management', 'assignment', 'Directorate', 'position', 'report']",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-09-23 15:29:42+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,"['CEC', 'Career', 'Opportunity', 'Engineer', 'SCADA']","['currently', 'career', 'opportunity', 'follow', 'field', 'ENGINEER', 'SCADA', 'Grade', 'CEC', 'Contract', 'Type', 'Permanent', 'location', 'Kitwe', 'role', 'responsible', 'provide', 'efficient', 'reliable', 'effective', 'SCADA', 'network', 'planning', 'designing', 'directing', 'implement', 'condition', 'base', 'maintenance', 'repair', 'SCADA', 'equipment', 'facility', 'vital', 'continuous']",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-09-23 15:29:32+00:00,Lovejoy Musundire,0
Copperbelt Energy,career,"['CEC', 'Career', 'Opportunity', 'Driver', 'II']","['currently', 'career', 'opportunity', 'follow', 'field', 'DRIVER', 'II', 'Grade', 'CEC', 'Contract', 'Type', 'Permanent', 'location', 'Kitwe', 'role', 'responsible', 'drive', 'assign', 'company', 'vehicle', 'order', 'transport', 'authorize', 'personnel', 'freight', 'worksite', 'location', 'timely', 'safe', 'courteous', 'manner', 'key']",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-09-23 15:28:50+00:00,Lovejoy Musundire,0
Copperbelt Energy,business news,"['CEC', 'Renewables', 'release', 'Unaudited', 'result', 'half', 'year', 'period', 'June']","['Financial', 'Indicators', 'Assets', 'Manager', 'Hilton', 'Fulele', 'comment', 'pleased', 'report', 'performance', 'CEC', 'Renewables', 'half', 'year', 'period', 'end', 'June', 'year', 'landmark', 'period', 'company', 'mark', 'significant', 'achievement', 'milestone', 'renewable', 'energy', 'generation', 'journey', 'result', 'achieve', 'reflect']",https://cecinvestor.com/search/kitwe/feed/rss2/,2024-08-19 12:48:31+00:00,Lovejoy Musundire,0
