Source,Category,Headline,Link,Description,Date,Author
Copperbelt Energy,"Careers,Current Careers",CEC Career Opportunity: GDP – Legal,https://cecinvestor.com/search/kitwe/feed/rss2/,"We currently have career opportunities in the following field VAC-2024-0026: GDP LEGAL Grade: CEC GDP | Contract Type: Fixed Term | Location: Kitwe Are you a fresh graduate with a Bachelor of Law Degree (LLB) and an Advocate of the High Court of Zambia; seeking to acquire real-world, hands-on experience to hone your strengths and","Wed, 20 Nov 2024 16:31:18 +0000",Lovejoy Musundire
Copperbelt Energy,"Careers,Current Careers",CEC Career Opportunity: Assurance Specialist – Systems,https://cecinvestor.com/search/kitwe/feed/rss2/,We currently have career opportunities in the following field VAC-2024-0024: ASSURANCE SPECIALIST - SYSTEMS Grade: CEC 5 | Contract Type: Permanent | Location: Kitwe This role is responsible for implementing strategic risk-based internal audit plan and assisting the functional head in managing the Assurance and Internal Audit function in accordance with the internal audit charter,"Wed, 20 Nov 2024 15:15:28 +0000",Lovejoy Musundire
Copperbelt Energy,"Careers,Current Careers",CEC Career Opportunity: Internal Auditor –  Information Systems,https://cecinvestor.com/search/kitwe/feed/rss2/,We currently have career opportunities in the following field VAC-2024-0025: INTERNAL AUDITOR – INFORMATION SYSTEMS Grade: CEC 6 | Contract Type: Permanent | Location: Kitwe This role is responsible for carrying out internal audit engagements relating to Information Systems (IS) and Information Technology (IT) that involve an evaluation of the adequacy and effectiveness of risk,"Wed, 20 Nov 2024 15:14:39 +0000",Lovejoy Musundire
Copperbelt Energy,"Careers,Current Careers",CEC Career Opportunity: Engineer – Protection,https://cecinvestor.com/search/kitwe/feed/rss2/,"We currently have career opportunities in the following field VAC-2024-0022: ENGINEER - PROTECTION Grade: CEC 6 | Contract Type: Permanent | Location: Kitwe This role is responsible for designing, installation, testing, commissioning and maintaining various protection and control equipment such as protection schemes, monitoring devices, alarm schemes and instruments to ensure the efficiency and reliability","Wed, 20 Nov 2024 15:13:41 +0000",Lovejoy Musundire
Copperbelt Energy,"Careers,Current Careers",CEC Career Opportunity: Mechanic II,https://cecinvestor.com/search/kitwe/feed/rss2/,"We currently have career opportunities in the following field VAC-2024-0023: MECHANIC II Grade: CEC 9 | Contract Type: Permanent | Location: Kitwe The role is responsible for accurate diagnosis of faults on; and carrying out repair and maintenance of all CEC motor vehicles and plant equipment, comprising vans, mini buses, trucks, cranes, earth moving equipment,","Wed, 20 Nov 2024 15:13:05 +0000",Lovejoy Musundire
Copperbelt Energy,"Careers,Current Careers",CEC Career Opportunity: Technician – Electrical,https://cecinvestor.com/search/kitwe/feed/rss2/,"We currently have career opportunities in the following field VAC-2024-0019: TECHNICIAN - ELECTRICAL Grade: CEC 9 | Contract Type: Permanent | Location: Kitwe This role is responsible for undertaking installations, maintenance and repairs on metering equipment and test instruments in order to ensure correct operation on all metering infrastructure. The position will report to the","Tue, 24 Sep 2024 09:10:46 +0000",Lovejoy Musundire
Copperbelt Energy,"Careers,Current Careers",CEC Career Opportunity: Parks & Gardens Assistant,https://cecinvestor.com/search/kitwe/feed/rss2/,"We currently have career opportunities in the following field VAC-2024-0017: PARKS &amp; GARDENS ASSISTANT Grade: CEC 10 | Contract Type: Permanent | Location: Kitwe This role is responsible for assisting in the implementation of activities related to routine landscape maintenance of grounds on all company premises, such as weed or vegetation control, waste collection, drainage","Tue, 24 Sep 2024 09:09:59 +0000",Lovejoy Musundire
Copperbelt Energy,"Careers,Current Careers",CEC Career Opportunity: Technician – Mechanical,https://cecinvestor.com/search/kitwe/feed/rss2/,"We currently have career opportunities in the following field VAC-2024-0018: TECHNICIAN - MECHANICAL Grade: CEC 9 | Contract Type: Permanent | Location: Kitwe This role is responsible for carrying out mechanical maintenance work, installation and repair of a range of mechanical fixed plant, equipment in an effective, efficient and cost-effective manner to ensure sustenance of","Tue, 24 Sep 2024 09:09:22 +0000",Lovejoy Musundire
Copperbelt Energy,"Careers,Current Careers",CEC Career Opportunity: CAPEX Engineer,https://cecinvestor.com/search/kitwe/feed/rss2/,"We currently have career opportunities in the following field VAC-2024-0016: CAPEX ENGINEER Grade: CEC 6 | Contract Type: Permanent | Location: Kitwe This role is responsible for coordinating, monitoring, review and evaluating the implementation of the Company CAPEX programs. The successful candidate will undertake Project Management assignments in the Directorate. The position will report to","Mon, 23 Sep 2024 15:29:42 +0000",Lovejoy Musundire
Copperbelt Energy,"Careers,Current Careers",CEC Career Opportunity: Engineer – SCADA,https://cecinvestor.com/search/kitwe/feed/rss2/,"We currently have career opportunities in the following field VAC-2024-0020: ENGINEER - SCADA Grade: CEC 6 | Contract Type: Permanent | Location: Kitwe This role is responsible for providing an efficient, reliable and effective SCADA network through planning, designing, directing, and implementing of condition-based maintenance and repair of all SCADA equipment/facilities vital for a continuous","Mon, 23 Sep 2024 15:29:32 +0000",Lovejoy Musundire
